Sigla OACI,Nome Empresas,Nacional ou Estrangeira
AAL,AMERICAN AIRLINES INC,Antilhas Holandesas
ABD,AIR ATLANTA ICELANDIC,BRASILEIRA
ABJ,ABAETE,BRASILEIRA
ABZ,ATA BRASIL,BRASILEIRA
ACA,AIR CANADA,BRASILEIRA
AEA,AIR EUROPA S/A,BRASILEIRA
AEY,AIR ITALY SPA,BRASILEIRA
AFL,AEROFLOT AEROLINEAS INT.RUSSIA,BRASILEIRA
AFR,AIR FRANCE,BRASILEIRA
ALV, ALAS DE VENEZUELA,BRASILEIRA
AMG,AIR MINAS,BRASILEIRA
AMX,AEROMEXICO,BRASILEIRA
APP,NÃO INFORMADO,BRASILEIRA
APW,ARROW AIR INC,BRASILEIRA
ARE,AIRES AEROVIAS DE INTEGRACION,BRASILEIRA
ARG,AEROLINEAS ARGENTINAS,BRASILEIRA
ARU,NÃO INFORMADO,BRASILEIRA
AUT,AUSTRAL LÖNEAS AREAS CIELOS DEL SUR S.A,BRASILEIRA
AVA,AVIANCA,ESTRANGEIRA
AWE,US AIRWAYS INC.,ESTRANGEIRA
AZA,ALITALIA,ESTRANGEIRA
AZU,AZUL,ESTRANGEIRA
BAW,BRITISH AIRWAYS PLC,ESTRANGEIRA
BCA,BRASMEX,ESTRANGEIRA
BET,BETA,ESTRANGEIRA
BLC,TAM-TRANSPORTE AEREOS MERIDIONAIS,ESTRANGEIRA
BOV,BOLIVIANA DE AVIACION,ESTRANGEIRA
BQB,BQB LINEAS AEREAS,ESTRANGEIRA
BRB,BRA,ESTRANGEIRA
BSI,NÃO INFORMADO,ESTRANGEIRA
CCA,AIR CHINA,ESTRANGEIRA
CDN,CANADIAN,ESTRANGEIRA
CFG,CONDOR FLUGDINST,ESTRANGEIRA
CIU,CIELOS DEL PERU,ESTRANGEIRA
CKS,KALITTA AIR LLC,ESTRANGEIRA
CLX,CARGOLUX AIRLINES,ESTRANGEIRA
CMP,COPA -COMPANIA PANAMENA DE AVIACION,ESTRANGEIRA
COA,CONTINENTAL AIRLINES INC,ESTRANGEIRA
CRX,CROSSAIR LTD,ESTRANGEIRA
CUB,EMP.CONSOLIDADA CUBANA,ESTRANGEIRA
CWC,CHALLENGE,ESTRANGEIRA
DAL,DELTA AIRLINES,ESTRANGEIRA
DLH,LUFTHANSA,ESTRANGEIRA
DRD,AIR MADRID LINEAS AEREAS,ESTRANGEIRA
DSM,LAN ARGENTINA S/A,ESTRANGEIRA
DTA,TAAG LINHAS AEREAS DE ANGOLA,ESTRANGEIRA
EAE,NÃO INFORMADO,ESTRANGEIRA
EDW,EDELWEISS AIR AG,ESTRANGEIRA
EEA,ECUATORIANA DE AVIACION S/A,ESTRANGEIRA
EIA,NÃO INFORMADO,ESTRANGEIRA
ELY,EL AL ISRAEL AIRLINES LTDA,ESTRANGEIRA
ETD,ETIHAD AIRWAYS,ESTRANGEIRA
ETH,ETHIOPIAN AIR LINES,ESTRANGEIRA
EUU,AIR EURO AMERICA,ESTRANGEIRA
FDX,FEDERAL EXPRESS,ESTRANGEIRA
FWI,AIR CARAIBES S.A.,ESTRANGEIRA
FYW,FLYWAYS LINHAS,ESTRANGEIRA
GEC,LUFTHANSA CARGO AG,ESTRANGEIRA
GL0,NÃO INFORMADO,ESTRANGEIRA
GL2,NÃO INFORMADO,ESTRANGEIRA
GLO,GOL,ESTRANGEIRA
GPT,NÃO INFORMADO,ESTRANGEIRA
GTI,ATLAS AIR INC,ESTRANGEIRA
IBE,IBERIA,ESTRANGEIRA
ICV,CARGOLUX ITALIA,ESTRANGEIRA
INC,INSEL AIR INTERNATIONAL B.V.,ESTRANGEIRA
ITB,INTERBRASIL,ESTRANGEIRA
ITI,ITAPEMIRIM TRANSPORTES REGIONAIS SA,ESTRANGEIRA
ITM,ITAPEMIRIM TRANSPORTES AEREOS S.A.,ESTRANGEIRA
IWD,IBERWORLD AIRLINES,ESTRANGEIRA
JAL,JAPAN AIRLINES,ESTRANGEIRA
JKK,SPANAIR,ESTRANGEIRA
KAL,KOREAN AIRLINES,ESTRANGEIRA
KLM,KLM ROYAL DUTCH AIRLINES,ESTRANGEIRA
LAE,LINEA AEREA CARGUERA DE COLOMBIA S.A.,ESTRANGEIRA
